Date,Forecasted Sales,Lower Bound,Upper Bound
2014-01-31,14790.563637294112,4798.396232504728,24238.133590507132
2014-02-28,5778.5383045776,-3267.375648215133,14802.585276699012
2014-03-31,41875.34314133427,32752.23367083205,51266.41682177351
2014-04-30,25662.72454458294,16489.45506952695,35378.256990780006
2014-05-31,25711.92945566422,16153.043853043924,35114.16451818848
2014-06-30,26711.737995762152,16932.140400520606,36584.06005188145
2014-07-31,26438.133371914355,17466.454886139756,35845.38573580155
2014-08-31,30856.590178417282,21226.939308049386,40370.766849768945
2014-09-30,67621.1171978275,57900.945533647064,77142.98296207606
2014-10-31,36077.38757669492,26768.26629381777,45611.11474880964
2014-11-30,78301.26894798252,69071.4659147607,87934.44892388368
2014-12-31,69991.58474496145,60828.08562096653,79141.18996164667
2015-01-31,18738.34039346834,9208.170680653364,28094.735410177283
2015-02-28,13880.71375284105,4865.119290428217,23718.879013433096
2015-03-31,49598.625286754745,40506.71606300371,59523.7905574628
2015-04-30,34576.01697887816,26536.75513672632,43568.63953479569
2015-05-31,26387.613872863167,17189.95332104926,35858.835907672285
2015-06-30,31085.925799939105,20941.892893510292,40561.395126791416
2015-07-31,33255.71965370275,23499.659202423212,42448.07791880628
2015-08-31,40664.292447989275,31707.5568332591,49726.789088833604
2015-09-30,76492.06726744714,67241.74254834052,85748.38372706514
2015-10-31,35984.17865948579,27381.73024675869,45325.04002578232
2015-11-30,86921.11813603555,77469.35670115647,96115.10062193623
2015-12-31,75920.60690769985,66115.44102266729,86257.55860117811
2016-01-31,23165.28304647649,14483.463928357387,32848.44267891831
2016-02-29,14902.053835203384,6016.24383838191,24026.348437899447
2016-03-31,51723.803769110156,42925.43867537034,61465.46118115424
2016-04-30,33016.278395279776,24028.294127554072,41812.01370438114
2016-05-31,49868.21836205125,40747.65177160986,59134.41430777871
2016-06-30,44187.68757692148,35395.229703886565,53134.99089868078
2016-07-31,39287.642774519576,29573.204740910096,48998.52943174233
2016-08-31,37700.29365764595,28088.65562881466,47076.816826428454
2016-09-30,75996.70448634833,66708.02117314757,86019.11902296686
2016-10-31,62955.82764396518,53470.172230425065,73255.38917474687
2016-11-30,88181.71063881312,78472.75048400041,97162.96256331787
2016-12-31,85608.11702130968,75343.0294395936,94530.03014865983
2017-01-31,38211.2354129784,28836.774500513628,47365.66703270976
2017-02-28,25246.65833872001,15957.411397933995,34798.74755124211
2017-03-31,61845.98790768501,52924.207709948314,70692.83293722442
2017-04-30,44535.97391645908,35941.65373505998,54784.82734847638
2017-05-31,53069.81957168151,43822.575701170645,61584.70487754883
2017-06-30,50739.8533852576,40994.45665605523,59626.657709068364
2017-07-31,48243.15004456791,38475.765450016246,57771.71411913506
2017-08-31,49797.13079011855,40741.53082423779,59329.85198161578
2017-09-30,87518.63585300744,78729.79222270948,96794.05685640988
2017-10-31,65271.07080849436,55988.68758157458,74889.74061128077
2017-11-30,99056.32109912366,89610.03197008626,108784.43554921473
2017-12-31,93756.95210653593,84731.00134522241,103520.54532295708
2018-01-31,44491.08036974026,35512.986344991914,53871.03311748135
2018-02-28,35661.18823184961,26314.710877893755,45754.014953657774
2018-03-31,71959.64053192896,62820.098149413665,81018.57427671555
2018-04-30,55942.164641653624,46323.064823851135,64770.97466486412
2018-05-31,56193.01701533072,46570.9553651107,65280.14643175562
2018-06-30,57387.9682588506,48618.72902394142,66282.72586329102
